subcategory,Dia,mes,dia_num,Tipo Dia,Subregión (SGR),CANTIDAD,Cuarta medida correctiva al Código Nacional de Policía más impuesta ,Fallecidos por siniestros viales,Población total de hombres,Población total de mujeres,Porcentaje población de hombres,Porcentaje población de mujeres,Primera medida correctiva al Código Nacional de Policía más impuesta ,Proporción en que son impuestas otras medidas correctivas al Código Nacional de Policía más impuesta ,Puntaje SISBEN: Promedio - Cabecera,Quinta medida correctiva al Código Nacional de Policía más impuesta ,Segunda medida correctiva al Código Nacional de Policía más impuesta ,Tasa de extorsión por cada 100.000 habitantes,Tasa de exÃ¡menes por presunto delito sexual a mujeres por cada 100 mil habitantes,Tasa de exámenes médico legales por presunto delito sexual contra adolescentes,Tasa de exámenes médico legales por presunto delito sexual contra niños y niñas de 0 a 5 años,Tasa de exámenes médico legales por presunto delito sexual contra niños y nñas de 6 a 11 años,Tasa de homicidio intencional en hombres por cada 100.000 habitantes,Tasa de homicidio intencional en mujeres por cada 100.000 habitantes,Tasa de homicidio intencional en áreas rurales por cada 100.000 habitantes,Tasa de homicidio intencional en áreas urbanas por cada 100.000 habitantes,Tasa de homicidio intencional por cada 100.000 habitantes,Tasa de homicidios en accidentes de tránsito por cada 100.000 habitantes,Tasa de homicidios en hombres por cada 100.000 habitantes,Tasa de homicidios en mujeres por cada 100.000 habitantes,Tasa de homicidios en áreas rurales por cada 100.000 habitantes,Tasa de homicidios en áreas urbanas por cada 100.000 habitantes,Tasa de homicidios por cada 100.000 habitantes,Tasa de hurto a personas por cada 100.000 habitantes,Tasa de hurto común por cada 100.000 habitantes,Tasa de lesiones en accidentes de tránsito por cada 100.000 habitantes,Tasa de secuestro por cada 100.000 habitantes,Tasa de violencia contra adolescentes 12 a 17 años,Tasa de violencia contra niños y niñas de 6 a 11 años,Tasa de violencia contra niños y niñas de primera infancia,Tasa de violencia de pareja a mujeres por cada 100 mil habitantes,Tasa de violencia interpersonal por cada 100.000 habitantes,Tasa de violencia intrafamiliar por cada 100.000 habitantes,Tercera medida correctiva al Código Nacional de Policía más impuesta ,Índice de Interrelación de Problemáticas
Aseo de hogar,Viernes,8,19,Laboral,Sur,2.0,0.88,40.0,45217.8,47875.2,48.572,51.428,18.45,2.893333333333333,40.5,0.6666666666666666,9.926666666666668,11.21,73.56,145.5625,64.475,118.435,126.33166666666666,9.406666666666666,52.693333333333335,103.675,66.08666666666666,40.00333333333334,96.375,7.82,43.0875,72.315,70.94,270.1066666666666,433.54,268.68666666666667,0.0,248.4875,122.4775,71.95500000000001,194.83,236.33333333333334,176.3025,1.1866666666666665,11.35
Belleza,Viernes,8,19,Laboral,Suroeste,1.0,1.4533333333333334,0.0,3437.2,3341.0,50.712,49.288,20.903333333333332,4.22,45.44,1.42,3.856666666666667,14.76,64.98467190486303,337.40999999999997,463.53,344.805,38.81666666666667,29.6,31.511666666666667,39.42136023264268,22.150000000000002,0.0,29.4575,7.525,26.509999999999998,0.0,23.878,74.17,265.9325,11.825999999999999,0.0,501.3175,435.2475,339.64250000000004,42.21,233.27666666666664,91.9025,2.14,26.53
Belleza,Viernes,8,19,Laboral,Vertiente Oriental,3.0,1.4433333333333334,74.83333333333333,223762.6,251706.6,47.064,52.936,16.49,3.953333333333333,34.34,1.2333333333333334,7.079999999999999,13.856666666666667,108.72,385.7025,207.55,370.275,48.10333333333333,4.685,29.01,24.26,25.113333333333333,15.131666666666668,36.025,4.195,22.8875,18.3575,24.472,544.085,757.92,340.715,0.385,633.01,404.65999999999997,219.43,208.52,247.89666666666665,183.495,3.8000000000000003,19.59
Pasabocas,Viernes,8,19,Laboral,Sur,3.0,1.7,30.0,52488.2,55851.2,48.446,51.553999999999995,14.913333333333334,5.24,44.42,0.8266666666666667,7.733333333333333,14.566666666666668,90.36,212.59,112.5275,205.1225,146.815,14.651666666666666,63.47833333333333,81.05499999999999,78.62,24.05,131.715,12.4375,53.927499999999995,72.67,80.3,472.62833333333333,702.135,191.5683333333333,0.225,368.57,220.8825,109.68249999999999,96.37,258.12,143.5325,3.5900000000000003,16.55
Productos Congelados,Viernes,8,19,Laboral,Norte,18.0,1.9966666666666668,3.1666666666666665,9115.4,10425.2,46.652,53.35,16.966666666666665,6.32,52.36,1.5666666666666664,4.3133333333333335,23.775000000000002,42.68,152.83,97.60666666666667,322.23,55.19,9.4,49.6,21.4725,26.593333333333334,12.758333333333333,63.2625,2.3425,62.942499999999995,13.485,29.622000000000003,133.9,292.575,75.81833333333334,0.0,241.57750000000001,94.1525,99.00999999999999,50.84,147.45666666666668,72.7875,2.8433333333333333,16.1
Belleza,Sabado,8,20,Fin de Semana,Vertiente Oriental,12.0,2.1466666666666665,2.0,8542.2,8480.0,50.182,49.818,14.063333333333334,4.596666666666667,32.57,1.5066666666666666,5.9433333333333325,3.9333333333333336,153.82,360.3225,337.61,464.2825,44.99333333333333,23.5,36.82833333333333,25.91,24.48,11.826,23.65,0.0,21.252499999999998,2.935,26.103999999999996,41.425000000000004,129.315,64.80666666666667,0.0,736.7225000000001,460.8625,259.0375,110.69,263.49333333333334,127.0325,5.740000000000001,40.99
Limpieza de cocina,Sabado,8,20,Fin de Semana,Oriente,12.0,1.5,0.8333333333333334,7985.4,8013.6,49.912,50.088,21.66,5.546666666666667,46.69,1.2,2.4533333333333336,18.886000000000003,61.38,194.74,147.3033333333333,240.57000000000002,68.24249999999999,12.4,51.76333333333334,43.6,35.6175,3.1725000000000003,34.5875,0.0,9.9425,23.9175,29.002,102.40500000000002,208.3025,10.14,0.0,216.3275,188.8025,86.12,181.49,278.3566666666666,93.4925,1.64,37.69
Productos Congelados,Sabado,8,20,Fin de Semana,Oriente,4.0,0.7399999999999999,13.5,35619.2,37847.2,48.482,51.517999999999994,21.533333333333335,2.9166666666666665,48.09,0.4666666666666666,5.196666666666666,17.703333333333333,73.81,287.51,120.6575,245.97000000000003,40.33833333333333,5.756666666666667,63.26166666666666,16.625,22.525000000000002,10.736666666666666,30.995,3.9924999999999997,56.68,11.375,23.036,244.125,385.52750000000003,188.36,0.35,593.21,299.08,144.79000000000002,217.44,362.92,196.6175,3.1466666666666665,21.62
Belleza,Jueves,8,25,Laboral,Nordeste,6.0,2.4066666666666667,6.833333333333333,11781.2,11376.8,50.874,49.126,18.753333333333334,3.5233333333333334,37.16,2.4066666666666667,3.7033333333333336,18.686666666666667,50.44,220.0875,179.40666666666667,172.6025,118.12333333333333,26.2,87.57833333333333,29.366666666666664,64.39333333333333,16.941666666666666,94.2775,8.54,68.14,18.2975,70.142,97.77166666666666,211.61,25.16,0.0,353.78000000000003,159.20250000000001,167.01749999999998,20.58,133.72333333333333,53.06,3.2100000000000004,36.58
Belleza,Jueves,8,25,Laboral,Magdalena Medio,2.0,0.96,6.0,10175.2,9671.8,51.27,48.730000000000004,23.72,2.9166666666666665,34.18,0.55,3.01,16.82166666666667,75.57,164.67249999999999,41.05,150.905,77.93166666666666,24.9,70.87833333333333,32.0,50.080000000000005,21.896666666666665,44.1,17.96,50.375,14.4775,54.36,162.275,341.59000000000003,42.38166666666667,1.75,225.57,98.89,17.065,91.97,145.16333333333333,112.7075,2.85,44.93
